cue_idx	cue	annotation	match	n_tail	component_kind
7	raise_fists_victory	y + non hold	False	3	movement
8	fist_pump	x + non hold	False	2	movement
9	flex_bicep	z + non shoulder hold	False	2	movement
10	shrug_idk	z - non shoulder	True	2	movement
11	self_scratch_head_confused	z +- rep wrist	True	2	movement
12	facepalm	x - non hold	True	2	movement
13	point_self	x - non/rep	False	1	movement
14	point_you	x +	True	1	movement
15	beckon_come_here	z - rep wrist	True	1	movement
16	stop_palm_out	x + non hold	True	2	movement
17	pat_stomach	x - rep wrist	False	2	movement
18	fan_face_hot	z +- rep wrist	False	2	movement
19	cover_yawn_sleepy	x - non hold	False	2	movement
20	rub_eye_tired	y +- rep	False	2	movement
21	tap_temple_think	y +- rep	False	2	movement
22	circle_temple_crazy	arc xz	False	1	path_arc
23	lean_forward_interest	x + non hold	True	1	movement
24	cover_mouth_gasp	y - non	True	1	movement
25	cheers_toast	z + non hold	False	3	movement
26	highfive_invite	z +	True	1	movement
27	highfive_imitation	x + non hold	True	1	movement
28	fistbump_invite	x + non hold	False	1	movement
30	pat_self_back	z +- rep	False	1	movement
32	throat_cut_stop	line y	True	2	path_line
35	salute	z + non hold	True	2	movement
36	visor_search	y +- rep	True	2	movement
37	yield_turn	x +	False	1	movement
39	request_turn	x + non	False	1	movement
40	guiding_arm			1	-
41	protective_arm_out	x + non	True	1	movement
45	slow_down_request_palm_down	x -	False	1	movement
50	firm_accept_forward_reach	x + non hold	True	1	movement
59	nod_yes	z +- rep	True	1	movement
60	shake_head_no	y +- rep	True	1	movement
61	air_quotes	x +- rep	True	2	movement
64	tilt_head_curious	y + non hold	True	1	movement
66	shh_gesture	x + non hold	True	1	movement
74	hands_up_surrender	y - non hold	True	2	movement
104	scale_expand	y + non	True	1	movement
