cue_idx	cue	gen	text_ver	text_det	vlm_ver	vlm_det
7	raise_fists_victory	False	False	False	False	True
8	fist_pump	True	True	True	True	False
9	flex_bicep	False	False	False	True	True
10	shrug_idk	True	True	True	True	True
11	scratch_head_confused	False	False	True	False	True
12	facepalm	True	False	False	True	True
13	point_self	False	False	True	True	True
14	point_you	True	True	True	True	True
15	beckon_come_here	True	False	False	False	False
16	stop_palm_out	True	True	True	True	True
17	pat_stomach	False	False	True	False	True
18	fan_face_hot	False	True	True	True	True
19	cover_yawn_sleepy	False	False	False	False	True
20	rub_eye_tired	False	False	False	True	True
21	tap_temple_think	False	False	False	False	False
22	circle_temple_crazy	False	False	True	False	True
23	lean_forward_interest	True	True	True	True	True
24	cover_mouth_gasp	True	True	True	False	False
25	cheers_toast	True	True	True	True	True
26	highfive_invite	True	True	False	True	True
27	highfive_imitation	True	True	False	True	False
28	fistbump_invite	False	False	False	False	False
30	pat_self_back	True	False	False	True	True
32	throat_cut_stop	True	False	False	True	True
35	salute	True	True	False	True	False
36	visor_search	True	True	True	True	True
37	yield_turn	False	False	False	False	False
39	request_turn	False	False	False	False	False
41	protective_arm_out	True	True	True	True	True
45	slow_down_request_palm_down	True	True	True	True	True
50	firm_accept_forward_reach	True	True	True	True	True
59	nod_yes	True	True	True	True	True
60	shake_head_no	True	True	True	True	True
61	air_quotes	True	True	True	False	False
64	tilt_head_curious	True	False	False	True	True
66	shh_gesture	True	True	True	True	True
74	hands_up_surrender	True	True	True	True	True
104	scale_expand	True	True	True	True	True
