cue_idx	cue	generation_gt	vlm_mp4	vlm_alpha	mp4_err	alpha_err
7	raise_fists_victory	False	False	True	TN	FP
8	fist_pump	True	False	False	FN	FN
9	flex_bicep	False	False	True	TN	FP
10	shrug_idk	True	True	True	TP	TP
11	self_scratch_head_confused	False	False	True	TN	FP
11	scratch_head_confused	False	None	True		FP
12	facepalm	True	True	True	TP	TP
13	point_self	False	False	True	TN	FP
14	point_you	True	True	False	TP	FN
15	beckon_come_here	True	False	True	FN	TP
16	stop_palm_out	True	False	False	FN	FN
17	pat_stomach	False	False	True	TN	FP
18	fan_face_hot	False	True	False	FP	TN
19	cover_yawn_sleepy	False	False	False	TN	TN
20	rub_eye_tired	False	False	False	TN	TN
21	tap_temple_think	False	False	True	TN	FP
22	circle_temple_crazy	False	True	True	FP	FP
23	lean_forward_interest	True	False	True	FN	TP
24	cover_mouth_gasp	True	False	True	FN	TP
25	cheers_toast	True	False	True	FN	TP
26	highfive_invite	True	False	True	FN	TP
27	highfive_imitation	True	True	False	TP	FN
28	fistbump_invite	False	False	False	TN	TN
30	pat_self_back	True	True	True	TP	TP
32	throat_cut_stop	True	False	True	FN	TP
35	salute	True	False	True	FN	TP
36	visor_search	True	False	True	FN	TP
37	yield_turn	False	True	True	FP	FP
39	request_turn	False	False	True	TN	FP
40	guiding_arm	None	None	None		
41	protective_arm_out	True	True	False	TP	FN
45	slow_down_request_palm_down	True	False	True	FN	TP
50	firm_accept_forward_reach	True	True	False	TP	FN
59	nod_yes	True	False	False	FN	FN
60	shake_head_no	True	True	True	TP	TP
61	air_quotes	True	False	True	FN	TP
64	tilt_head_curious	True	True	True	TP	TP
66	shh_gesture	True	True	False	TP	FN
74	hands_up_surrender	True	False	True	FN	TP
104	scale_expand	True	True	True	TP	TP
