idx	cue	gt_dir	gt_gripper_orientation	generation	verify_vlm	verify_text
7	raise_fists_victory	up	vertical	x (f v)	o	x (u h)
8	fist_pump	-	-	o	x (ok)	x (ok)
9	flex_bicep	left	horizontal	x (d v)	x (u h)	x (u h)
10	shrug_idk	up	vertical	x (u h)	x (ok)	x (ok)
11	self_scratch_head_confused	-	-	o	o	o
11	scratch_head_confused	left	vertical	x (f h)	x (r v)	o
12	facepalm	back	horizontal	x (f h)	o	x (u h)
13	point_self	back	horizontal|vertical	x (f h)	o	o
14	point_you	-	-	o	x (ok)	x (ok)
15	beckon_come_here	back	horizontal	x (f h)	x (f v)	x (u h)
16	stop_palm_out	-	-	o	x (ok)	x (ok)
17	pat_stomach	left|right	vertical	x (f h)	x (b h)	x (b h)
18	fan_face_hot	left|right	horizontal	x (l v)	x (ok)	x (ok)
19	cover_yawn_sleepy	up	horizontal	x (d h)	x (b h)	x (b h)
20	rub_eye_tired	-	-	o	o	o
21	tap_temple_think	left|right	horizontal	x (f h)	x (r v)	x (l v)
22	circle_temple_crazy	left|right	vertical	x (f h)	x (ok)	o
23	lean_forward_interest	-	-	o	o	o
24	cover_mouth_gasp	up	horizontal	x (f h)	x (b v)	x (b h)
25	cheers_toast	up	horizontal	x (u h)	x (ok)	x (f v)
26	highfive_invite	up	horizontal	x (f h)	x (ok)	o
27	highfive_imitation	front	horizontal	x (u h)	o	x (ok)
28	fistbump_invite	front	horizontal	x (d v)	x (f v)	o
30	pat_self_back	-	-	o	x (ok)	x (ok)
32	throat_cut_stop	left	horizontal	x (f h)	x (r v)	x (l v)
35	salute	-	-	o	x (ok)	x (ok)
36	visor_search	-	-	o	o	o
37	yield_turn	front	horizontal	x (b v)	x (ok)	o
39	request_turn	-	-	o	o	x (ok)
40	guiding_arm	-	-	o	o	x (ok)
41	protective_arm_out	up	horizontal	x (f h)	x (ok)	o
45	slow_down_request_palm_down	front	horizontal	x (d h)	x (ok)	o
50	firm_accept_forward_reach	-	-	o	o	o
59	nod_yes	-	-	o	o	o
60	shake_head_no	front	horizontal	x (f v)	x (ok)	x (u h)
61	air_quotes	-	-	o	x (ok)	x (ok)
64	tilt_head_curious	-	-	o	x (ok)	x (ok)
66	shh_gesture	-	-	o	x (ok)	x (ok)
74	hands_up_surrender	up	horizontal	x (f h)	o	o
104	scale_expand	left	vertical	x (d h)	x (f v)	x (f h)
